Order Date,Order ID,Market,Category,Sales,Quantity,Profit
2013-01-01,ID-2013-37383,Kumasi,Technology,1649.214,7,36.624
2013-01-01,IN-2013-47960,Kumasi,Furniture,1358.28,7,203.7
2013-01-01,ID-2013-37383,Kumasi,Technology,728.568,8,-32.472
2013-01-01,IN-2013-47960,Kumasi,Furniture,2189.52,6,372.06
2013-01-01,IN-2013-47960,Kumasi,Furniture,1362.06,7,340.41
2013-01-01,ES-2013-1430889,Bawku,Office Supplies,299.052,4,116.292
2013-01-01,IN-2013-77570,Kumasi,Furniture,246.12,2,66.42
2013-01-01,ES-2013-5435815,Bawku,Office Supplies,155.034,3,68.904
2013-01-01,IN-2013-47960,Kumasi,Office Supplies,242.25,5,12.0
2013-01-01,ID-2013-37383,Kumasi,Office Supplies,416.664,8,41.544
2013-01-01,ID-2013-37383,Kumasi,Office Supplies,85.428,4,18.948
2013-01-01,IN-2013-50410,Kumasi,Office Supplies,94.98,2,0.0
2013-01-01,ID-2013-37383,Kumasi,Technology,115.236,4,28.116
2013-01-01,ID-2013-37383,Kumasi,Office Supplies,105.3,3,8.19
2013-01-01,ES-2013-5782657,Bawku,Office Supplies,99.48,2,23.82
2013-01-01,CG-2013-5810,Takoradi,Furniture,23.4,1,7.23
2013-01-01,ES-2013-5782657,Bawku,Office Supplies,45.96,4,8.64
2013-01-01,ES-2013-4706438,Bawku,Office Supplies,64.26,2,32.1
2013-01-01,NI-2013-4150,Takoradi,Furniture,15.507,1,-19.653
2013-01-01,CA-2013-6650,Bawku,Office Supplies,15.75,1,1.71
2013-01-01,ES-2013-4954697,Bawku,Office Supplies,10.08,2,1.68
2013-01-01,HU-2013-4270,Takoradi,Office Supplies,15.51,1,0.45
2013-01-01,IN-2013-47960,Kumasi,Office Supplies,22.23,1,5.76
2013-01-01,HU-2013-4270,Takoradi,Office Supplies,9.27,1,4.05
2013-01-02,IT-2013-4191599,Bawku,Office Supplies,694.47,7,-458.43
2013-01-02,MX-2013-141537,Accra,Furniture,266.94,3,-177.96
2013-01-02,MX-2013-141537,Accra,Office Supplies,168.288,6,56.688
2013-01-02,US-2013-153465,Accra,Furniture,305.472,6,-57.288
2013-01-02,US-2013-153465,Accra,Furniture,306.32,8,-263.44
2013-01-02,MX-2013-141537,Accra,Technology,156.18456,2,21.10456
2013-01-02,MX-2013-141537,Accra,Office Supplies,63.04,4,11.76
2013-01-02,MX-2013-141537,Accra,Office Supplies,225.728,2,-47.992
2013-01-02,ES-2013-3795615,Bawku,Furniture,303.858,2,94.518
2013-01-02,IN-2013-20618,Kumasi,Furniture,201.123,3,75.933
2013-01-02,ES-2013-3500321,Bawku,Office Supplies,88.83,3,31.05
2013-01-02,ES-2013-4851162,Bawku,Office Supplies,201.84,4,3.96
2013-01-02,MX-2013-141537,Accra,Office Supplies,53.12,2,-4.0
